,pclass,age,sibsp,parch,fare,sex_female,sex_male
0,1.0,29.0,0.0,0.0,211.3375,1,0
1,1.0,0.9167,1.0,2.0,151.55,0,1
2,1.0,2.0,1.0,2.0,151.55,1,0
3,1.0,30.0,1.0,2.0,151.55,0,1
4,1.0,25.0,1.0,2.0,151.55,1,0
5,1.0,48.0,0.0,0.0,26.55,0,1
6,1.0,63.0,1.0,0.0,77.9583,1,0
7,1.0,39.0,0.0,0.0,0.0,0,1
8,1.0,53.0,2.0,0.0,51.4792,1,0
9,1.0,71.0,0.0,0.0,49.5042,0,1
10,1.0,47.0,1.0,0.0,227.525,0,1
11,1.0,18.0,1.0,0.0,227.525,1,0
12,1.0,24.0,0.0,0.0,69.3,1,0
13,1.0,26.0,0.0,0.0,78.85,1,0
14,1.0,80.0,0.0,0.0,30.0,0,1
15,1.0,,0.0,0.0,25.925,0,1
16,1.0,24.0,0.0,1.0,247.5208,0,1
17,1.0,50.0,0.0,1.0,247.5208,1,0
18,1.0,32.0,0.0,0.0,76.2917,1,0
19,1.0,36.0,0.0,0.0,75.2417,0,1
20,1.0,37.0,1.0,1.0,52.5542,0,1
21,1.0,47.0,1.0,1.0,52.5542,1,0
22,1.0,26.0,0.0,0.0,30.0,0,1
23,1.0,42.0,0.0,0.0,227.525,1,0
24,1.0,29.0,0.0,0.0,221.7792,1,0
25,1.0,25.0,0.0,0.0,26.0,0,1
26,1.0,25.0,1.0,0.0,91.0792,0,1
27,1.0,19.0,1.0,0.0,91.0792,1,0
28,1.0,35.0,0.0,0.0,135.6333,1,0
29,1.0,28.0,0.0,0.0,26.55,0,1
30,1.0,45.0,0.0,0.0,35.5,0,1
31,1.0,40.0,0.0,0.0,31.0,0,1
32,1.0,30.0,0.0,0.0,164.8667,1,0
33,1.0,58.0,0.0,0.0,26.55,1,0
34,1.0,42.0,0.0,0.0,26.55,0,1
35,1.0,45.0,0.0,0.0,262.375,1,0
36,1.0,22.0,0.0,1.0,55.0,1,0
37,1.0,,0.0,0.0,26.55,0,1
38,1.0,41.0,0.0,0.0,30.5,0,1
39,1.0,48.0,0.0,0.0,50.4958,0,1
40,1.0,,0.0,0.0,39.6,0,1
41,1.0,44.0,0.0,0.0,27.7208,1,0
42,1.0,59.0,2.0,0.0,51.4792,1,0
43,1.0,60.0,0.0,0.0,76.2917,1,0
44,1.0,41.0,0.0,0.0,134.5,1,0
45,1.0,45.0,0.0,0.0,26.55,0,1
46,1.0,,0.0,0.0,31.0,0,1
47,1.0,42.0,0.0,0.0,26.2875,0,1
48,1.0,53.0,0.0,0.0,27.4458,1,0
49,1.0,36.0,0.0,1.0,512.3292,0,1
50,1.0,58.0,0.0,1.0,512.3292,1,0
51,1.0,33.0,0.0,0.0,5.0,0,1
52,1.0,28.0,0.0,0.0,47.1,0,1
53,1.0,17.0,0.0,0.0,47.1,0,1
54,1.0,11.0,1.0,2.0,120.0,0,1
55,1.0,14.0,1.0,2.0,120.0,1,0
56,1.0,36.0,1.0,2.0,120.0,0,1
57,1.0,36.0,1.0,2.0,120.0,1,0
58,1.0,49.0,0.0,0.0,26.0,0,1
59,1.0,,0.0,0.0,27.7208,1,0
60,1.0,36.0,1.0,0.0,78.85,0,1
61,1.0,76.0,1.0,0.0,78.85,1,0
62,1.0,46.0,1.0,0.0,61.175,0,1
63,1.0,47.0,1.0,0.0,61.175,1,0
64,1.0,27.0,1.0,0.0,53.1,0,1
65,1.0,33.0,1.0,0.0,53.1,1,0
66,1.0,36.0,0.0,0.0,262.375,1,0
67,1.0,30.0,0.0,0.0,86.5,1,0
68,1.0,45.0,0.0,0.0,29.7,0,1
69,1.0,,0.0,1.0,55.0,1,0
70,1.0,,0.0,0.0,0.0,0,1
71,1.0,27.0,1.0,0.0,136.7792,0,1
72,1.0,26.0,1.0,0.0,136.7792,1,0
73,1.0,22.0,0.0,0.0,151.55,1,0
74,1.0,,0.0,0.0,52.0,0,1
75,1.0,47.0,0.0,0.0,25.5875,0,1
76,1.0,39.0,1.0,1.0,83.1583,1,0
77,1.0,37.0,1.0,1.0,83.1583,0,1
78,1.0,64.0,0.0,2.0,83.1583,1,0
79,1.0,55.0,2.0,0.0,25.7,1,0
80,1.0,,0.0,0.0,26.55,0,1
81,1.0,70.0,1.0,1.0,71.0,0,1
82,1.0,36.0,0.0,2.0,71.0,1,0
83,1.0,64.0,1.0,1.0,26.55,1,0
84,1.0,39.0,1.0,0.0,71.2833,0,1
85,1.0,38.0,1.0,0.0,71.2833,1,0
86,1.0,51.0,0.0,0.0,26.55,0,1
87,1.0,27.0,0.0,0.0,30.5,0,1
88,1.0,33.0,0.0,0.0,151.55,1,0
89,1.0,31.0,1.0,0.0,52.0,0,1
90,1.0,27.0,1.0,2.0,52.0,1,0
91,1.0,31.0,1.0,0.0,57.0,0,1
92,1.0,17.0,1.0,0.0,57.0,1,0
93,1.0,53.0,1.0,1.0,81.8583,0,1
94,1.0,4.0,0.0,2.0,81.8583,0,1
95,1.0,54.0,1.0,1.0,81.8583,1,0
96,1.0,50.0,1.0,0.0,106.425,0,1
97,1.0,27.0,1.0,1.0,247.5208,1,0
98,1.0,48.0,1.0,0.0,106.425,1,0
99,1.0,48.0,1.0,0.0,39.6,1,0
100,1.0,49.0,1.0,0.0,56.9292,0,1
101,1.0,39.0,0.0,0.0,29.7,0,1
102,1.0,23.0,0.0,1.0,83.1583,1,0
103,1.0,38.0,0.0,0.0,227.525,1,0
104,1.0,54.0,1.0,0.0,78.2667,1,0
105,1.0,36.0,0.0,0.0,31.6792,1,0
106,1.0,,0.0,0.0,221.7792,0,1
107,1.0,,0.0,0.0,31.6833,1,0
108,1.0,,0.0,0.0,110.8833,1,0
109,1.0,36.0,0.0,0.0,26.3875,0,1
110,1.0,30.0,0.0,0.0,27.75,0,1
111,1.0,24.0,3.0,2.0,263.0,1,0
112,1.0,28.0,3.0,2.0,263.0,1,0
113,1.0,23.0,3.0,2.0,263.0,1,0
114,1.0,19.0,3.0,2.0,263.0,0,1
115,1.0,64.0,1.0,4.0,263.0,0,1
116,1.0,60.0,1.0,4.0,263.0,1,0
117,1.0,30.0,0.0,0.0,56.9292,1,0
118,1.0,,0.0,0.0,26.55,0,1
119,1.0,50.0,2.0,0.0,133.65,0,1
120,1.0,43.0,1.0,0.0,27.7208,0,1
121,1.0,,1.0,0.0,133.65,1,0
122,1.0,22.0,0.0,2.0,49.5,1,0
123,1.0,60.0,1.0,1.0,79.2,0,1
124,1.0,48.0,1.0,1.0,79.2,1,0
125,1.0,,0.0,0.0,0.0,0,1
126,1.0,37.0,1.0,0.0,53.1,0,1
127,1.0,35.0,1.0,0.0,53.1,1,0
128,1.0,47.0,0.0,0.0,38.5,0,1
129,1.0,35.0,0.0,0.0,211.5,1,0
130,1.0,22.0,0.0,1.0,59.4,1,0
131,1.0,45.0,0.0,1.0,59.4,1,0
132,1.0,24.0,0.0,0.0,79.2,0,1
133,1.0,49.0,1.0,0.0,89.1042,0,1
134,1.0,,1.0,0.0,89.1042,1,0
135,1.0,71.0,0.0,0.0,34.6542,0,1
136,1.0,53.0,0.0,0.0,28.5,0,1
137,1.0,19.0,0.0,0.0,30.0,1,0
138,1.0,38.0,0.0,1.0,153.4625,0,1
139,1.0,58.0,0.0,1.0,153.4625,1,0
140,1.0,23.0,0.0,1.0,63.3583,0,1
141,1.0,45.0,0.0,1.0,63.3583,1,0
142,1.0,46.0,0.0,0.0,79.2,0,1
143,1.0,25.0,1.0,0.0,55.4417,0,1
144,1.0,25.0,1.0,0.0,55.4417,1,0
145,1.0,48.0,1.0,0.0,76.7292,0,1
146,1.0,49.0,1.0,0.0,76.7292,1,0
147,1.0,,0.0,0.0,42.4,0,1
148,1.0,45.0,1.0,0.0,83.475,0,1
149,1.0,35.0,1.0,0.0,83.475,1,0
150,1.0,40.0,0.0,0.0,0.0,0,1
151,1.0,27.0,0.0,0.0,76.7292,0,1
152,1.0,,0.0,0.0,30.0,0,1
153,1.0,24.0,0.0,0.0,83.1583,1,0
154,1.0,55.0,1.0,1.0,93.5,0,1
155,1.0,52.0,1.0,1.0,93.5,1,0
156,1.0,42.0,0.0,0.0,42.5,0,1
157,1.0,,0.0,0.0,51.8625,0,1
158,1.0,55.0,0.0,0.0,50.0,0,1
159,1.0,16.0,0.0,1.0,57.9792,1,0
160,1.0,44.0,0.0,1.0,57.9792,1,0
161,1.0,51.0,1.0,0.0,77.9583,1,0
162,1.0,42.0,1.0,0.0,52.0,0,1
163,1.0,35.0,1.0,0.0,52.0,1,0
164,1.0,35.0,0.0,0.0,26.55,0,1
165,1.0,38.0,1.0,0.0,90.0,0,1
166,1.0,,0.0,0.0,30.6958,0,1
167,1.0,35.0,1.0,0.0,90.0,1,0
168,1.0,38.0,0.0,0.0,80.0,1,0
169,1.0,50.0,0.0,0.0,28.7125,1,0
170,1.0,49.0,0.0,0.0,0.0,0,1
171,1.0,46.0,0.0,0.0,26.0,0,1
172,1.0,50.0,0.0,0.0,26.0,0,1
173,1.0,32.5,0.0,0.0,211.5,0,1
174,1.0,58.0,0.0,0.0,29.7,0,1
175,1.0,41.0,1.0,0.0,51.8625,0,1
176,1.0,,1.0,0.0,51.8625,1,0
177,1.0,42.0,1.0,0.0,52.5542,0,1
178,1.0,45.0,1.0,0.0,52.5542,1,0
179,1.0,,0.0,0.0,26.55,0,1
180,1.0,39.0,0.0,0.0,211.3375,1,0
181,1.0,49.0,0.0,0.0,25.9292,1,0
182,1.0,30.0,0.0,0.0,106.425,1,0
183,1.0,35.0,0.0,0.0,512.3292,0,1
184,1.0,,0.0,0.0,27.7208,0,1
185,1.0,42.0,0.0,0.0,26.55,0,1
186,1.0,55.0,0.0,0.0,27.7208,1,0
187,1.0,16.0,0.0,1.0,39.4,1,0
188,1.0,51.0,0.0,1.0,39.4,1,0
189,1.0,29.0,0.0,0.0,30.0,0,1
190,1.0,21.0,0.0,0.0,77.9583,1,0
191,1.0,30.0,0.0,0.0,45.5,0,1
192,1.0,58.0,0.0,0.0,146.5208,1,0
193,1.0,15.0,0.0,1.0,211.3375,1,0
194,1.0,30.0,0.0,0.0,26.0,0,1
195,1.0,16.0,0.0,0.0,86.5,1,0
196,1.0,,0.0,0.0,29.7,0,1
197,1.0,19.0,1.0,0.0,53.1,0,1
198,1.0,18.0,1.0,0.0,53.1,1,0
199,1.0,24.0,0.0,0.0,49.5042,1,0
200,1.0,46.0,0.0,0.0,75.2417,0,1
201,1.0,54.0,0.0,0.0,51.8625,0,1
202,1.0,36.0,0.0,0.0,26.2875,0,1
203,1.0,28.0,1.0,0.0,82.1708,0,1
204,1.0,,1.0,0.0,82.1708,1,0
205,1.0,65.0,0.0,0.0,26.55,0,1
206,1.0,44.0,2.0,0.0,90.0,0,1
207,1.0,33.0,1.0,0.0,90.0,1,0
208,1.0,37.0,1.0,0.0,90.0,1,0
209,1.0,30.0,1.0,0.0,57.75,0,1
210,1.0,55.0,0.0,0.0,30.5,0,1
211,1.0,47.0,0.0,0.0,42.4,0,1
212,1.0,37.0,0.0,1.0,29.7,0,1
213,1.0,31.0,1.0,0.0,113.275,1,0
214,1.0,23.0,1.0,0.0,113.275,1,0
215,1.0,58.0,0.0,2.0,113.275,0,1
216,1.0,19.0,0.0,2.0,26.2833,1,0
217,1.0,64.0,0.0,0.0,26.0,0,1
218,1.0,39.0,0.0,0.0,108.9,1,0
219,1.0,,0.0,0.0,25.7417,0,1
220,1.0,22.0,0.0,1.0,61.9792,1,0
221,1.0,65.0,0.0,1.0,61.9792,0,1
222,1.0,28.5,0.0,0.0,27.7208,0,1
223,1.0,,0.0,0.0,0.0,0,1
224,1.0,45.5,0.0,0.0,28.5,0,1
225,1.0,23.0,0.0,0.0,93.5,0,1
226,1.0,29.0,1.0,0.0,66.6,0,1
227,1.0,22.0,1.0,0.0,66.6,1,0
228,1.0,18.0,1.0,0.0,108.9,0,1
229,1.0,17.0,1.0,0.0,108.9,1,0
230,1.0,30.0,0.0,0.0,93.5,1,0
231,1.0,52.0,0.0,0.0,30.5,0,1
232,1.0,47.0,0.0,0.0,52.0,0,1
233,1.0,56.0,0.0,1.0,83.1583,1,0
234,1.0,38.0,0.0,0.0,0.0,0,1
235,1.0,,0.0,0.0,39.6,0,1
236,1.0,22.0,0.0,0.0,135.6333,0,1
237,1.0,,0.0,0.0,227.525,0,1
238,1.0,43.0,0.0,1.0,211.3375,1,0
239,1.0,31.0,0.0,0.0,50.4958,0,1
240,1.0,45.0,0.0,0.0,26.55,0,1
241,1.0,,0.0,0.0,50.0,0,1
242,1.0,33.0,0.0,0.0,27.7208,1,0
243,1.0,46.0,0.0,0.0,79.2,0,1
244,1.0,36.0,0.0,0.0,40.125,0,1
245,1.0,33.0,0.0,0.0,86.5,1,0
246,1.0,55.0,1.0,0.0,59.4,0,1
247,1.0,54.0,1.0,0.0,59.4,1,0
248,1.0,33.0,0.0,0.0,26.55,0,1
249,1.0,13.0,2.0,2.0,262.375,0,1
250,1.0,18.0,2.0,2.0,262.375,1,0
251,1.0,21.0,2.0,2.0,262.375,1,0
252,1.0,61.0,1.0,3.0,262.375,0,1
253,1.0,48.0,1.0,3.0,262.375,1,0
254,1.0,,0.0,0.0,30.5,0,1
255,1.0,24.0,0.0,0.0,69.3,1,0
256,1.0,,0.0,0.0,26.0,0,1
257,1.0,35.0,1.0,0.0,57.75,1,0
258,1.0,30.0,0.0,0.0,31.0,1,0
259,1.0,34.0,0.0,0.0,26.55,0,1
260,1.0,40.0,0.0,0.0,153.4625,1,0
261,1.0,35.0,0.0,0.0,26.2875,0,1
262,1.0,50.0,1.0,0.0,55.9,0,1
263,1.0,39.0,1.0,0.0,55.9,1,0
264,1.0,56.0,0.0,0.0,35.5,0,1
265,1.0,28.0,0.0,0.0,35.5,0,1
266,1.0,56.0,0.0,0.0,26.55,0,1
267,1.0,56.0,0.0,0.0,30.6958,0,1
268,1.0,24.0,1.0,0.0,60.0,0,1
269,1.0,,0.0,0.0,26.0,0,1
270,1.0,18.0,1.0,0.0,60.0,1,0
271,1.0,24.0,1.0,0.0,82.2667,0,1
272,1.0,23.0,1.0,0.0,82.2667,1,0
273,1.0,6.0,0.0,2.0,134.5,0,1
274,1.0,45.0,1.0,1.0,134.5,0,1
275,1.0,40.0,1.0,1.0,134.5,1,0
276,1.0,57.0,1.0,0.0,146.5208,0,1
277,1.0,,1.0,0.0,146.5208,1,0
278,1.0,32.0,0.0,0.0,30.5,0,1
279,1.0,62.0,0.0,0.0,26.55,0,1
280,1.0,54.0,1.0,0.0,55.4417,0,1
281,1.0,43.0,1.0,0.0,55.4417,1,0
282,1.0,52.0,1.0,0.0,78.2667,1,0
283,1.0,,0.0,0.0,27.7208,0,1
284,1.0,62.0,0.0,0.0,80.0,1,0
285,1.0,67.0,1.0,0.0,221.7792,0,1
286,1.0,63.0,1.0,0.0,221.7792,1,0
287,1.0,61.0,0.0,0.0,32.3208,0,1
288,1.0,48.0,0.0,0.0,25.9292,1,0
289,1.0,18.0,0.0,2.0,79.65,1,0
290,1.0,52.0,1.0,1.0,79.65,0,1
291,1.0,39.0,1.0,1.0,79.65,1,0
292,1.0,48.0,1.0,0.0,52.0,0,1
293,1.0,,1.0,0.0,52.0,1,0
294,1.0,49.0,1.0,1.0,110.8833,0,1
295,1.0,17.0,0.0,2.0,110.8833,0,1
296,1.0,39.0,1.0,1.0,110.8833,1,0
297,1.0,,0.0,0.0,79.2,1,0
298,1.0,31.0,0.0,0.0,28.5375,0,1
299,1.0,40.0,0.0,0.0,27.7208,0,1
300,1.0,61.0,0.0,0.0,33.5,0,1
301,1.0,47.0,0.0,0.0,34.0208,0,1
302,1.0,35.0,0.0,0.0,512.3292,1,0
303,1.0,64.0,1.0,0.0,75.25,0,1
304,1.0,60.0,1.0,0.0,75.25,1,0
305,1.0,60.0,0.0,0.0,26.55,0,1
306,1.0,54.0,0.0,1.0,77.2875,0,1
307,1.0,21.0,0.0,1.0,77.2875,0,1
308,1.0,55.0,0.0,0.0,135.6333,1,0
309,1.0,31.0,0.0,2.0,164.8667,1,0
310,1.0,57.0,1.0,1.0,164.8667,0,1
311,1.0,45.0,1.0,1.0,164.8667,1,0
312,1.0,50.0,1.0,1.0,211.5,0,1
313,1.0,27.0,0.0,2.0,211.5,0,1
314,1.0,50.0,1.0,1.0,211.5,1,0
315,1.0,21.0,0.0,0.0,26.55,1,0
316,1.0,51.0,0.0,1.0,61.3792,0,1
317,1.0,21.0,0.0,1.0,61.3792,0,1
318,1.0,,0.0,0.0,35.0,0,1
319,1.0,31.0,0.0,0.0,134.5,1,0
320,1.0,,0.0,0.0,35.5,0,1
321,1.0,62.0,0.0,0.0,26.55,0,1
322,1.0,36.0,0.0,0.0,135.6333,1,0
323,2.0,30.0,1.0,0.0,24.0,0,1
324,2.0,28.0,1.0,0.0,24.0,1,0
325,2.0,30.0,0.0,0.0,13.0,0,1
326,2.0,18.0,0.0,0.0,11.5,0,1
327,2.0,25.0,0.0,0.0,10.5,0,1
328,2.0,34.0,1.0,0.0,26.0,0,1
329,2.0,36.0,1.0,0.0,26.0,1,0
330,2.0,57.0,0.0,0.0,13.0,0,1
331,2.0,18.0,0.0,0.0,11.5,0,1
332,2.0,23.0,0.0,0.0,10.5,0,1
333,2.0,36.0,0.0,0.0,13.0,1,0
334,2.0,28.0,0.0,0.0,10.5,0,1
335,2.0,51.0,0.0,0.0,12.525,0,1
336,2.0,32.0,1.0,0.0,26.0,0,1
337,2.0,19.0,1.0,0.0,26.0,1,0
338,2.0,28.0,0.0,0.0,26.0,0,1
339,2.0,1.0,2.0,1.0,39.0,0,1
340,2.0,4.0,2.0,1.0,39.0,1,0
341,2.0,12.0,2.0,1.0,39.0,1,0
342,2.0,36.0,0.0,3.0,39.0,1,0
343,2.0,34.0,0.0,0.0,13.0,0,1
344,2.0,19.0,0.0,0.0,13.0,1,0
345,2.0,23.0,0.0,0.0,13.0,0,1
346,2.0,26.0,0.0,0.0,13.0,0,1
347,2.0,42.0,0.0,0.0,13.0,0,1
348,2.0,27.0,0.0,0.0,13.0,0,1
349,2.0,24.0,0.0,0.0,13.0,1,0
350,2.0,15.0,0.0,2.0,39.0,1,0
351,2.0,60.0,1.0,1.0,39.0,0,1
352,2.0,40.0,1.0,1.0,39.0,1,0
353,2.0,20.0,1.0,0.0,26.0,1,0
354,2.0,25.0,1.0,0.0,26.0,0,1
355,2.0,36.0,0.0,0.0,13.0,1,0
356,2.0,25.0,0.0,0.0,13.0,0,1
357,2.0,42.0,0.0,0.0,13.0,0,1
358,2.0,42.0,0.0,0.0,13.0,1,0
359,2.0,0.8333,0.0,2.0,29.0,0,1
360,2.0,26.0,1.0,1.0,29.0,0,1
361,2.0,22.0,1.0,1.0,29.0,1,0
362,2.0,35.0,0.0,0.0,21.0,1,0
363,2.0,,0.0,0.0,0.0,0,1
364,2.0,19.0,0.0,0.0,13.0,0,1
365,2.0,44.0,1.0,0.0,26.0,1,0
366,2.0,54.0,1.0,0.0,26.0,0,1
367,2.0,52.0,0.0,0.0,13.5,0,1
368,2.0,37.0,1.0,0.0,26.0,0,1
369,2.0,29.0,1.0,0.0,26.0,1,0
370,2.0,25.0,1.0,1.0,30.0,1,0
371,2.0,45.0,0.0,2.0,30.0,1,0
372,2.0,29.0,1.0,0.0,26.0,0,1
373,2.0,28.0,1.0,0.0,26.0,1,0
374,2.0,29.0,0.0,0.0,10.5,0,1
375,2.0,28.0,0.0,0.0,13.0,0,1
376,2.0,24.0,0.0,0.0,10.5,0,1
377,2.0,8.0,0.0,2.0,26.25,1,0
378,2.0,31.0,1.0,1.0,26.25,0,1
379,2.0,31.0,1.0,1.0,26.25,1,0
380,2.0,22.0,0.0,0.0,10.5,1,0
381,2.0,30.0,0.0,0.0,13.0,1,0
382,2.0,,0.0,0.0,21.0,1,0
383,2.0,21.0,0.0,0.0,11.5,0,1
384,2.0,,0.0,0.0,0.0,0,1
385,2.0,8.0,1.0,1.0,36.75,0,1
386,2.0,18.0,0.0,0.0,73.5,0,1
387,2.0,48.0,0.0,2.0,36.75,1,0
388,2.0,28.0,0.0,0.0,13.0,1,0
389,2.0,32.0,0.0,0.0,13.0,0,1
390,2.0,17.0,0.0,0.0,73.5,0,1
391,2.0,29.0,1.0,0.0,27.7208,0,1
392,2.0,24.0,1.0,0.0,27.7208,1,0
393,2.0,25.0,0.0,0.0,31.5,0,1
394,2.0,18.0,0.0,0.0,73.5,0,1
395,2.0,18.0,0.0,1.0,23.0,1,0
396,2.0,34.0,0.0,1.0,23.0,1,0
397,2.0,54.0,0.0,0.0,26.0,0,1
398,2.0,8.0,0.0,2.0,32.5,0,1
399,2.0,42.0,1.0,1.0,32.5,0,1
400,2.0,34.0,1.0,1.0,32.5,1,0
401,2.0,27.0,1.0,0.0,13.8583,1,0
402,2.0,30.0,1.0,0.0,13.8583,1,0
403,2.0,23.0,0.0,0.0,13.0,0,1
404,2.0,21.0,0.0,0.0,13.0,0,1
405,2.0,18.0,0.0,0.0,13.0,0,1
406,2.0,40.0,1.0,0.0,26.0,0,1
407,2.0,29.0,1.0,0.0,26.0,1,0
408,2.0,18.0,0.0,0.0,10.5,0,1
409,2.0,36.0,0.0,0.0,13.0,0,1
410,2.0,,0.0,0.0,0.0,0,1
411,2.0,38.0,0.0,0.0,13.0,1,0
412,2.0,35.0,0.0,0.0,26.0,0,1
413,2.0,38.0,1.0,0.0,21.0,0,1
414,2.0,34.0,1.0,0.0,21.0,0,1
415,2.0,34.0,0.0,0.0,13.0,1,0
416,2.0,16.0,0.0,0.0,26.0,0,1
417,2.0,26.0,0.0,0.0,10.5,0,1
418,2.0,47.0,0.0,0.0,10.5,0,1
419,2.0,21.0,1.0,0.0,11.5,0,1
420,2.0,21.0,1.0,0.0,11.5,0,1
421,2.0,24.0,0.0,0.0,13.5,0,1
422,2.0,24.0,0.0,0.0,13.0,0,1
423,2.0,34.0,0.0,0.0,13.0,0,1
424,2.0,30.0,0.0,0.0,13.0,0,1
425,2.0,52.0,0.0,0.0,13.0,0,1
426,2.0,30.0,0.0,0.0,13.0,0,1
427,2.0,0.6667,1.0,1.0,14.5,0,1
428,2.0,24.0,0.0,2.0,14.5,1,0
429,2.0,44.0,0.0,0.0,13.0,0,1
430,2.0,6.0,0.0,1.0,33.0,1,0
431,2.0,28.0,0.0,1.0,33.0,0,1
